"","Reviewers","Reviews","Ratings","Date","TextReviews"
"194","korereviews"," More music video than TV show","9/10","8 December 2017","Peaky Blinders is all style and no substance. Endless slow-motion shots to dramatic music of characters walking, smoking cigarettes, or squinting into the distance. The priority is clearly to make everyone look cool: cool when they're engaging in brutal violence, cool when they're suffering or dying, cool when they're eating breakfast. Every shot is either like a music video or a fashion magazine spread in period costume. The characters are props - lifeless mannequins. None of them feel like actual people, nor are they meant to. The actors here are all good, but they have nothing to do but pose. We're just supposed to be dazzled by how cool they look and sound. The fact that so many viewers seem to think this show is gritty and realistic is a depressing commentary on how on we as a society can no longer tell the difference between the fake and the authentic (and how little we care about the difference). This show and others of its ilk (like the even more popular Taboo) are just nihilism photoshopped to look sexy. Superficially seductive, empty at the core."
"195","knifemagnet"," Getting a little tired now going into season five","","10 October 2019","Early on I loved this show. Eventually it is like watching the same episode over and over again. There is no depth of characters like we see in shows like Boardwalk Empire. Prior to watching season five I decided to watch season four again. The slow motion shots should go out the window at this point - it's just getting plain ridiculous. Add to that shots of characters parading into a room, with an air that they are the coolest people alive, like a teen given better clothes and a better hair cut on the first day of school - that is also really trying my patience. If I were asked what character recently portrayed on film annoyed me most I'd have a hard time thinking of anyone else but Arthur; if I was a Peaky Blinder I'd shoot him myself. But this is perhaps due to a good character, played by a good actor, that is irritating. Above all though, the vast majority of the music irritates me; could they not blend music of the time while retaining Nick Cave's intro and randomly chosen outros? Or how about the cliche parts where Tom never meets a woman that isn't ready to drop their panties for him - is this something that was borrowed from that awful show Entourage? And so, my struggle to get through season five goes forward. I've gone from a 9/10 at the end of season three, to a 7/10, and now to a 6/10. Wish me luck. Season six? No thanks."
"196","atrevino90"," Good, but not that good","9/10","26 April 2020","I wanted to like this show give how many people praise it, but having seen series as good as breaking bad, chernobyl, first half of game of thrones, better call saul, sopranos and others, this show is not among those actually good shows, but it is as good as, lets say westworld, though for entirely different reasons. Characters are solid, the acting is mostly good I specially like Hardy, but some characters like Polly are very inconsistent and becomes pretty annoying for no good reason other than to keep conflict going in the family. Everything is a little too dreamy plotwise and puts me off with a slight cringe from time to time, its a bit hard to care about the characters when they dont have enough depth, I think it just needs better planning to be what it wants to be, though overall it is good enough, I can appreciate the level of production it has and is undoubtly better than many other shows out there, just not quite among the best, I am very surprised it has an 8.8 average at this point, its more like an 8.4"
"197","robfollower"," Peaky Blinders(2013-)","","22 January 2021","In 1919, the notorious 'Peaky Blinders' are one of Birmingham, England 's most feared criminal gangs. Named after their practice of sewing razor blades into the peaks of their caps, the ""Peaky Blinders"" have interests in illegal betting, protection and the black market. Former war hero and brains behind the operation, Tommy Shelby, is eager to safeguard his family's success by making the business legitimate. But when he's offered a consignment of stolen arms, Tommy comes into direct conflict with Chief Inspector Campbell, a tough Belfast policeman who's been charged with recovering the guns at any cost.
Directors: Colm McCarthy, Tim Mielants, Otto Bathurst, Tom Harper, David Caffrey
Writer: Steven Knight
Starring: Cillian Murphy, Paul Anderson (XVIII), Sam Neill, Helen McCrory, Annabelle Wallis, Sophie Rundle
This show is one of the best crime drama series.The actors,the premise and the direction is really top notch.This show will transport you to England in the aftermath of World War I. And yeah Cellian Murphy is the best part of this show.The actor is great while portraying Thomas Shelby,the head of Peaky Blinders. A real treat for fans."
"198","bshaef"," Just Finished Season 4","10/10","23 December 2017","It started off good and continued good through the middle but the end was weak. I hope the writers put more pizzazz in season 5. Looking forward to a few more installments of this series. I think the people responsible for the scenery and costumes deserve an A+. Also would be interesting to know how they make the sky look so gray and drab which I'm sure it did in real life."
"199","dk777"," Pretentious Blinders","","14 January 2021","Certainly had potential, started very interesting, but it quickly became repetitive and boring.Too bad, because the cinematography is good and the actors are not bad. It is hard to take this show seriously, especially with such unlikable characters.The music is great, but it doesn't fit into the series at all. The show is interesting at times, but it is too pretentious and the dialogues are too modern.It started out interesting, the concept is intriguing, as well as the period in which the action takes place, but it soon became repetitive, with a lot of slow motion shots. In each episode we have a small video where people walk in slow motion and someone smokes.The characters are simply too modern at the time, their reactions and the topics they talk about are so unrealistic that the show would function better as a comedy.Some parts are hilarious, the series itself is so pretentious that it is impossible to take it seriously. The production and costume design are excellent, but the script is not at that level, it is typical for today's film production.Another pretentious show set in the past, with characters who act as if they are from the present day."
"200","francogrex"," I wanted it to continue","10/10","20 August 2023","It's a great series, I loved it. Everything about it was so great, the acting the writing, the directing etc. It drew me in from the first few episodes. The characters are attractive and likeable despite of course the role they play in the series. The series give you an insight on England in the 1920,30s and a peek at some of the social and political conditions at the time. Cillian Murphy the actor portraying Tommy was so crucial for the huge success of this show, however the support of the rest of the cast was very important, for example Arthur Shelby gave this series a distinct flavor that without him it would have been much less interesting. I wanted the series to go beyond season 6. I was sad when it ended. I will miss watching it, miss the characters, being with them for so long, they became like friends."
"201","leonghiacnn"," Cillian Murphy's masterpiece acting !","","24 March 2020","After the show, you cannot stop thinking about Thomas Shelby. I've never seen any movie characters that stay in your head like that."
"202",NA,NA,"9/10",NA,NA
"203",NA,NA,"",NA,NA
"204",NA,NA,"8/10",NA,NA
"205",NA,NA,"",NA,NA
"206",NA,NA,"9/10",NA,NA
"207",NA,NA,"",NA,NA
"208",NA,NA,"10/10",NA,NA
"209",NA,NA,"",NA,NA
"210",NA,NA,"9/10",NA,NA
"211",NA,NA,"",NA,NA
"212",NA,NA,"5/10",NA,NA
"213",NA,NA,"",NA,NA
"214",NA,NA,"3/10",NA,NA
"215",NA,NA,"",NA,NA
"216",NA,NA,"8/10",NA,NA
"217",NA,NA,"",NA,NA
"218",NA,NA,"9/10",NA,NA
"219",NA,NA,"",NA,NA
"220",NA,NA,"9/10",NA,NA
"221",NA,NA,"",NA,NA
"222",NA,NA,"3/10",NA,NA
"223",NA,NA,"",NA,NA
"224",NA,NA,"9/10",NA,NA
"225",NA,NA,"",NA,NA
"226",NA,NA,"10/10",NA,NA
"227","tfrizzell"," This Show Will Be Used to Study How Life Was 100 Years From Now","","21 July 2001","Brilliant television series that could probably be best described as ""The Flintstones"" gone stark-raving mad. ""The Simpsons"", everyone knows them. Some love the series and some could care less about it. Love it or hate it, it is near impossible to criticize the intelligence and creativity of this series. The titled animated family makes their home in Springfield, USA and gets into situations that are seemingly more outlandish and crazier than the previous adventure. Homer, Marge, Bart, Lisa, and Maggie are still going strong after nearly a dozen years of television life and with each passing moment it seems that the series sets some new precedent. For several years the show seemed to be the only attraction to the then obscure Fox Network. It was the first primetime animated show that was treated like a sitcom since ""The Flintstones"" quietly left the air in 1966. Many people feared the series when it first premiered in 1989 because they felt that it was hardcore adult material in a candied form that would appeal to younger audiences. Well for the most part this was true. However, ""The Simpsons"" would prove to be much more for all audiences. The great thing about the series is that it caters to all audiences. True there are usually situations that may not be suitable for all viewers, but then again that is true with everything on television this side of Disney Land and Sesame Street. ""The Simpsons"" works because of great comedy of course, but also great lessons that can be taken from most of the episodes. The people within the program may be animated, but they are just as complicated and vulnerable as the people watching them. All the regulars have their quirks, but in some episodes you can understand what certain characters are going through because the show is so life-like at times. Former President George Bush (the one from 1988-1992) once made a statement that families should be more like ""The Waltons"" and less like ""The Simpsons"". His opinion is somewhat old-fashioned and unrealistic. In other words, many topics dealt with in ""The Simpsons"" fit life for people in the 1990s and 2000s better than ""The Waltons"" did in the 1970s. A crowning achievement in television art. 5 stars out of 5."
"228","Smells_Like_Cheese"," Probably the best television show on Earth","9/10","12 November 2003","The Simpsons is the longest running animated TV series since The Flinstones, and you could understand why after watching just one of the Simpsons episodes. Simply because The Simpsons is just so hilarious and incredibly clever and has been ripped off so many times, but nothing has come close to the brilliance that the Simpsons writers have brought us.We have Homer Simpson, one of the most beloved TV characters of all time, with his famous quote ""Doh!"". He's an overweight, lazy, and not the brightest bulb, but so incredibly lovable for the fact of how bipolar he is! One minute he can be so incredibly depressed, but the next minute really happy and giggling. My favorite Homer quote is when he kills the zombie Ned Flanders in a Halloween episode, Bart tells him ""Dad! You killed the zombie Flanders!""... ""He was a zombie?"" Marge is Homer's wife and a homemaker. She is at times naggy, but always manages to get in some terrific humor and some deep sympathy with all she puts up with. My favorite Marge quote is ""Bart, don't make fun of grad students. They've just made a terrible life choice."" Bart is the oldest son and a rebel. His usual quotes are ""Don't have a cow"" ""Cool, man!"" ""Ei Carumba!"". He's this generation's Dennis the Menace. My favorite Bart quote is ""I need a soul, Ralph, any, your's!"", you'll see what I mean.Lisa is the second oldest and the smartie pants of the Simpson clan, she's kind of the know it all who solves all the adventures of the Simpsons. My favorite Lisa quote is ""They're only using you for your pool you know... shut up brain! I have friends now, I don't need you any more!"". Last, but not least, Maggie, the eternal baby of Homer and Marge, always a great love of the screen, but no famous quotes, just memorable moments like when she turns into an alien.The supporting cast is a terrific addition, my favorites include Mr. Burns, Homer's boss, Groundskeeper Willy, the school janitor, and Mr. Skinner, the school principal. The Simpson is just a terrific show that in one way or another you will see at least one episode in your lifetime. I know that generations to come, they will still be watching The Simpsons."
"229","bob the moo"," May be suffering a bit with time  but overall this is one of the finest show to come out of America","","20 April 2002","The series that follows the dysfunctional family of the Simpsons.  The oafish Homer who can barely go a day without slacking or getting mixed up in crazy adventures. His wife, Marge, who tries to hold it all together.  His duaghter Lisa who is smarter that her gene pool should allow, Bart  every inch the classroom rebel.  The family is rounded out by the youngest  baby Maggie.  The family interact with those around them and learn lessons or sometimes fail to change completely.When this series started in 1987 as a string of rough shorts in Tracey Ulman's show it would be a brave man who would have predicted that over a decade later that this series would be as huge as it is.  However the series got launched with the Christmas special in the early 90's.  The first series saw the animation greatly improved and the characters developed fully to be more involving.  However the story lines were not as sharp or as full as they were to be.  The second series and onwards saw the Simpsons have better stories  often multi-layered stories filled with pop-culture references and background jokes that reward the careful viewerto try and list them would take ages.For an American sitcom (for that is what it is) this is amazing  the intelligence of the script is fantastic.  The depth of the stories are involving, witty and packed.  For a movie buff like me, this is a gold mine  from sly references in the background to full blow scenes almost spoofing movies this has them all. In some programmes that have background jokes the main stuff at the front often suffers or is ignored totally.  However here the main plot and dialogue is fresh and well thought out  it is amazing that for almost all of it's run The Simpsons rarely had a bad episode.True  recent shows have begun to show a slide in quality but this is to be expected after more than 10 years at the top.  However it is generally brilliant and clever.  After the first series everything improved.  Not only was the series used for political comment, satire and ironic humour (in a country that generally can't do any well) but it is also heart warming and funny.The characters live in a balance between reality and surreality.  They are sort of recognisable as real people in terms of habits and experiences  but in another way they are out there..Homer has been in Space, stopped a nuclear explosion etc.  The mix of this makes for an unique programme.  What makes it better is that the makers never draw a line between the madness and the normality  one episode is made up of a bad-neighbour type war between Homer and George Bush Snr!  The mix is seamless and adds layers to each show.The wealth of characters is another strength. The main family is strong  even Maggie has regular input and adventures!  However where most sitcoms really rely on their main subjects for the stories, The Simpsons has a supporting cast of dozens and dozens of really good characters  all of whom are able to carry an episode.  They range from the normal characters (an inept  Police Chief, an Asian shop keeper who is used to being robbed at gunpoint) to the referential or well imagined, (the well-educated Sideshow Mel, a bitter Krusty the Clown, an useless lawyer).  All the characters have become more fully used as time has gone on.The voice actors are all excellent and all do a huge range of voicesof course they get very well paid for it!  Unfortunately the late Phil Hartman provided the voices of two of my favourite characters and I really miss his dry humour and strong all-American voice.  Lionel Hutz was a great character and my favourite, Troy McClure is a wonderful spoof of 60's B-movie actor Doug McClure.  This depth really helps the show and has allowed it to feel so very fresh years on.I could go on for ever, but the series is a wonderful bit of proof that sitcoms don't have to be simple, full of canned laughter and focus on sassy teenagers!  The joys of the dialogue are backed up by movie references and crazy adventures.  The wonderful Simpson family are supported by a huge cast of imaginative characters who are always well used and a queue of celebrities just lining up to have a few minutes in the show. Quite simply this is consistently the best show to come out of American in my life time."
"230","TheLittleSongbird"," A great show, despite declining in quality over the years","7/10","8 January 2010","When I was 10, I adored the Simpsons, America's favourite dysfunctional family. Me and my brother and sisters watched it every day after school, and got a bagful of laughs. Two years ago though, I stopped watching it. Maybe I didn't find it as funny, creative or as original anymore. Well after seeing the Simpsons Movie, I decided to give the show another chance. And I am glad I did, because it is smart, creative, funny AND original. It is true that the show has been declining in written quality the past three years or so, but the more recent seasons are still watchable, thanks to the animation and the endearing characters.The show's animation is fantastic. In animated shows, I like animation that is colourful and fluid, and the animation in this show is exactly that. The theme tune is irresistibly catchy and the story lines are outstandingly good. Other than the voice acting what made the show so good was its writing. Not obnoxious or childish, but smart and most importantly funny. And the visual jokes are also impressive.And the voice acting is exceptional bringing the dysfunctional family to life. Homer is a type of father figure who repeatedly lets down his family, has a love for doughnuts and beer and pretty much hates his job. Dan Castallenetta, a talented voice actor whom I fondly remember as Megavolt from Darkwing Duck, does a great job not only as Homer but as Grandpa and Krusty, not loud and abrasive at all but just right. Julie Kavner is also great as Marge, a caring matriarch who genuinely cares for her family. Nancy Cartwright is perfect as Bart, who is quite naughty and hates school, same with Yeardley Smith as studious Lisa. Plus Maggie is absolutely adorable.Then there are the supporting characters. My favourite is Grandpa, he is absolutely hilarious. Hank Azaria is amusing as Moe and Chief Wiggum, and Harry Shearer is suitably chirpy as Ned and impresses equally with his monotonic drawls for Principal Skinner and Reverend Lovejoy. There are many memorable guest performances from various celebrities, and frequent appearances from Phil Hartmann and Tress MacNeille. My favourite is Kelsey Grammar as Sideshow Bob, a reprising villain I enjoy watching, sinister yet funny. All in all, despite the fact it isn't as enjoyable as it was, The Simpsons is still a great show. 9.5/10 Bethany Cox"
"231","bat-5"," Pure genius","","17 January 1999","The Simpsons is a show that has sustained ten years of constant humor.  The stories have gradually become better and the second fiddle characters were getting more screen time which translates into a much more realized show. The pop culture references abound and delight those who can pick them out. My personal favorite is the Citizen Kane references in the episode called ""Rosebud.""  Plus, anything with C. Montgomery Burns is hysterical.  The guest stars aren't there as a ""special appearance"" touted by the networks. They actually work into the storyline, and that makes it all the more enjoyable.  Where else can you see The Moody Blues acting like thugs in a Vegas casino?"
"232","Rammstein-2"," A landmark in TV-show history","5/10","5 February 2001","i have yet to see something as funny, clever and entertaining as ""The Simpsons"" on TV. I'm hardly a TV-series buff, I rarely have the patience and interest to follow a show for more than five or six episodes. ""The Simpsons"" is the one show that I am very sorry to have missed out on until just a couple of years ago. Luckily, Swedish television are rerun experts. It is also the only show that I make sure to follow apart from perhaps ""Friends"", but in entertainment value, ""The Simpsons"" is way ahead.What makes this show so great is its attention to detail, its outrageous dialogue and its completely fearless way of dealing with any issue that crosses the writers' minds. The many characters and their extravaganza makes it an endless well of new angles, new ideas and even more outrageous dialogues. Another very important element is the mocking irony and sarcasm which permeates the entire series. The smarmy and cheesy moments that a great many episodes end up in are extremely clever and becomes an important part of the fun.What impresses me the most about the series is, however, the enormous amount of detail: the attentive spectator is not just in for the obvious gags - there's always something going on or something to read in the background, which makes a VCR mandatory so you can go back and check that special detail out again. Its a fantastic show, and its a great moment when one can sit down and watch another insane, stupid, disastrous and hilarious episode."
"233","liquidcelluloid-1"," Blind loyalty and network greed has ruined what used to be an animated masterpiece","","25 January 2004","Network: Fox; Genre: Animated Comedy, Parody, Satire; Content Rating: TV-PG (language, adult contend and animated nudity); Available: DVD and syndication everywhere; Perspective: Classic (star range: 1 - 5);Seasons Reviewed: Season 12+ If someone had told me 10 years ago that I would one day be bored by 'The Simpsons', I would have called them crazy. But here we are and while 'The Simpsons' has become the longest running show on TV at the cost of its core integrity. ""Simpsons"" in its prime was the best things to grace the small screen. A funny, ground-breaking animated comedy with lightening-quick wit, insightful social and brilliantly integrated parody. It created its own universe with an entire town of original characters. Most importantly, it actually helped shape the sense of humor of an entire generation. That generation which has now grown up and is now creating animated shows in direct competition. ""Simpsons"" is a pale shadow of its former greatness. It gradually slipping this way for several years, but it wasn't until the 2002 and 2003 seasons that the show really smashed up against the rocks for good. I used to delight in each new episode of ""Simpsons"". But now the show clunks along each week in what appears to be filling time. The free-wheeling gags it used to deliver with such ease are now weighted down by an unnecessary over importance on story. The show at its best may get off a funny, sharp one-liner every now and then. It's biggest asset currently is it's willingness and given latitude to slam its own network. I do delight in their ""Joe Millionaire"" on-air promo parodies or a recent episode where Homer calls to give the network an idea and the recording says something like ""If you know of another network's reality show we can rip off, press 2..."" So what happened? There really is no one thing that can easily be pointed out to all the late-commers and say ""this is what happened"" - you have to have traced the history. The 'jump the shark' moment could have come as early as the infamous Frank Grimes episode where our vision of The Simpson family was suddenly turned into something to aspire to instead of parody. It could be the legion of big name celebrities forced into every episode. To bring down a show as great as this, it was a slow convergence of several things. Watching it, 3 differences are evident on-screen at any given time: First, the stripping down most of the characters to 1-note cartoons. Notably, British favorite Homer Simpson going from child-like, hard-luck father to a rag-doll for wild animals to rip apart as each episode closes. I'm particularly appalled at its attempts to use Homer as a political mouthpiece. Did you know that a guy who once lit a Q-tip so he could see inside his brain has an active concern for global politics? Yeah, I didn't either. Secondly, the classic Baby Boomer voice of the series has evaporated and was replaced with contemporary generation X and Y jokes. Now, it's the internet and Tony Hawke. The voice of the series used to be one of creator Matt Groening's, seen through the eyes of Homer and Marge. That voice has been lost as the show has turned into an assembly line institution, repackaged and been homogenized for the masses and a new generation of writers lead by Ian Maxton-Graham has come in to ""keep it fresh"". Thirdly, it has run out of creative juice. Anyone who has stuck with the show long enough can see it literally re-telling jokes and recycle previous story lines. When the recycling becomes too obvious or the episode makes no sense, they merely double back and declare it all a big self-parody. Not even Al Jean (architect of the show in its prime and the Larry David of ""The Simpsons"") can save it now. Since the talented voice cast has remained the same low these many years, I put all the blame on this squarely with the Fox network who refused to let this show go out gracefully when Groening siphoned off his role to work on his dream project, the now far superior 'Futurama'. In Fox's race to claim this endurance record they have turned a once edgy and visionary show into an institution with an assembly line production and revolving door of writers to match any of the other lame shows on TV. Behind the scenes, maybe the condescending we-can-do-no-wrong attitude of Maxton-Graham has dealt the show its biggest death blow, while producer Mike Scully sat back and ineptly let Maxton-Graham run it into the ground. In the end, the biggest blame may actually land with the ""die-hard fans"" that embolden the show by letting it get away with this junk. Yes, ""The Simpsons"" was ground-breaking and every adult animation in the future owns it a bit of gratitude, but blind loyalty to a show only for how it performed in the past isn't healthy. Since it has hit long-running status the critical bandwagon jumping has begun and ""Simpsons"" is more popular than ever amongst critics that want to be on the inside of history. We've now reached a point where the bad episodes and bad entire seasons outweigh the good and that, I'm afraid, is going to be the sad legacy of ""Simpsons"" . A train-wreck of crass, childish humor, grainy animation, oddly misplaced satire and forced parodies of only the most obvious pop culture targets. 10 years ago I didn't know what I would do without ""The Simpsons"" but now, particularly with the emergence of satisfying new adult animated shows ('Futurama', 'Family Guy' and 'South Park'), living without it might be pretty good. * * / 5"
"234","davidaempatton"," Gone from good to bad","7/10","4 March 2021","I've watched it since season 1 and it was fantastic the best episodes are from 1989-2002.The earlier seasons had great Humor, Dialogue, Memorable Lines, Funny charactersTHESE NEW EPISODES SUCK ASS. Take the show off the air."
"235","mercer74"," The greatest television show of all time","","5 June 1999","What more can I possibly say about a TV show that has already been praised to death?  I was 15 when the Simpsons first aired and I'm 25 now.  I've seen every single episode, and I'd have to say it's a rare combination of factors that come together to make The Simpsons the best show ever.It's a very clever and intelligent show - they never dumb anything down - and as creator Matt Groening has remarked, ""The Simpsons is a show that rewards paying attention.""  There are always enough obscure pop-culture references or subtle background gags to ensure that the second, third, or tenth viewing of an episode will find you noticing something you hadn't before.In the early days of The Simpsons, they derived a large part of their popularity from the everyday, down-to-earth, unglamorous, average-blue-collar-slob aspect of the Simpson family.  Homer is lazy and doesn't like his job, Bart doesn't excel at school, the plastic ketchup bottle they use at the dinner table makes that farting sound, and so on. This aspect of the program contrasts it with popular 80's family sitcoms such as The Cosby Show which always featured impossibly well-functioning families who got along a little too perfectly and usually learned a neat little lesson at the end of each episode.  An early tag-line for The Simpsons said that they ""put the Fun back in Dysfunctional.""Perhaps this blue-collar-slobness by itself is nothing shockingly original - think of previous TV shows such as Roseanne, Married with Children, All in the Family, The Honeymooners - but the Simpsons doesn't stop there.  This show is extremely densely packed with jokes - everything from cerebral witticisms and sly satire to Homer falling down and going ""D'oh!""  Because it's a cartoon, the writers can get away with surreal gags such as the time Homer tells a joke which falls flat, after which a long silence happens which is punctuated by a single tumbleweed rolling through the Simpson's living room.There are just too many things to mention about The Simpsons.  It can be touching occasionally; more often the viewers are treated to an unequalled cavalcade of obscure references, surreal sight gags, wacky adventures, self-mocking irony...   The list goes on and on.  Just watch it, else you're missing out on one of the most important elements of 1990's popular culture."
"236","fjk1138-731-161881"," How the mighty have fallen","9/10","9 December 2020","The Simpsons was my de facto go-to comedy from 1992 until the movie came out. Based on other reviews here, it appears that I hung in a lot longer than most. But I gave up eventually.From 1992 until 2007 I used to record, save, and constantly re-watch the Simpsons on VHS. Once the DVDs started coming out, I would buy every single box set and watch those to death as well. I used to drive my friends nuts with quoting lines or referring to episodes. I looked forward to every episode, what new disaster Homer could get into, and what goofy plot they would come up next. I loved every diverse and wacky character and how they all interacted with each other, good or bad. The writing was top notch, the parody of real-life things was great, and voice acting was flat-out superb. From the time I started watching until the early 2000's, it was heavenly. From 2002 - 2006, it started showing some signs of weakening, but still managed to make me laugh.Then the movie came out in 2007.It had a few moments (Marge's choice words about the bomb got my one ""out loud"" laugh), but it felt lackluster and pandered to a generic audience instead of staying really true to the diehards that were with the show since the beginning. The movie also marked the start of the show eventually going to CG versus traditional animation.And here is where things start changing. Eventually, the writing went from meh (and later super-meh) to flat out lazy and about as funny as a terminal disease. Since CG animation no-doubt faster to produce than hand-drawn, the Simpsons went from feeling hand-made to mass-produced. This effect eventually seemed to spill over into all aspects of the show. Despite this, I was willing stick it out so long as it made me laugh, but it stopped doing that and I just couldn't bear to watch any longer. For me, it was really like a dear friend or relative was dying before my very eyes, albeit slowly and painfully.But what really buried it for me was when that loser and complete no-talent ""comedian"" Hari Kondabolu cried and whined that Apu was somehow an insult to the entire Indian race (a farcical cartoon character, really?) which eventually stopped Hank Azaria from voicing it. Congrats Hari, you ruined one of my favorite characters on the show. What is it that you are known for again? Oh right, we're still waiting for all the brilliant comedy that you have yet to produce. It appears that Hank will no longer be voicing Carl either, who is now replaced by a ""correctly-raced"" actor. Because, you know, the earth was going to explode or something if that wasn't done. I supposed it's just a matter of time until Dr. Nick Riviera will be saying ""Bye Everybody!"" as well.But it's OK, I've reached the level of acceptance and abandoned the show several years ago. I honestly don't know anyone who still watches this show either, but for those that still do I would ask that you please stop. Let the viewership die so that the show can die right along with it. It really needs to be put out its misery at this point. Every once in a while, I catch a glimpse of recent episodes when switching channels and most of the voice actors sound tired. I'm sure this is easy money for them by now, but really, I would think they are all talented enough to do other voice work in many other places. Or not - maybe they all need to retire. Poor Julie Kavner's voice sounds like it's practically gone now.There was a time when I used to hope the state that Springfield is in would be revealed in the final episode, but now? I couldn't care less. What once was a show that screwed with the established order eventually got swallowed up by it and drowned in a sea of political correctness. I sold off my Simpsons box sets years ago and moved on to other things. The classic version of the show still exists for me now, but only in my memories. It's a world where Apu does not want anyone offering Ganesha a peanut, but he does ask us to ""Come again!""."
"237","Atreyu_II"," No longer that great","","14 August 2007","When the animated TV series ""The Simpsons"" first came out, nobody could image how successful it would become. But they made this a clever TV series: that original family with their silly humor conquered many people. From 1989 until (maybe) almost the end of the 1990's, this was a great TV show. It was very humorous, highly creative and had all the needed ingredients to be a classic.All of the characters are very peculiar and eccentric: Bart, Lisa, Marge and Homer. On the other hand, Maggie is innocent because she's a baby. Marge has that weird hair and Homer is more than just the silliest of all Simpsons: he's the silliest ""family chief"" ever!However, in these last years ""The Simpsons"" has been notoriously going downhill. It isn't that great anymore. It doesn't have that classic status any longer and its humor has become more irritating. It isn't so funny anymore.Now is definitely time to put an end to this TV show. They should have done that years ago. The more time they'll take to finally do it, the more they'll ruin it."
"238","gillmurphydogg"," Iconic but....","6/10","1 January 2023","The Simpsons is a world treasure but I feel the series has gone on for far too long. Gone are the days of universal innocent jokes that happened in the earlier seasons up to 13. I'm thinking of iconic episodes where they all get separated on a camping trip. Or where they go to Australia. Or where they adopt dear old Apu. Now the latter episodes seem focused on current events making them less relatable to a wider audience.Overall though, I must say, this is a series that will remain unforgettable and the long-running work of the writers, voice actors, directors and animators is to be commended as their legacy will live on. 7/10."
"239","Arlando909"," It started off fantastic...","","1 June 2006","No one, not even Matt Groening himself, could've imagined that The Simpsons would become as big as it did. Nor could anyone anticipate it could become so cultural. ""D'oh"" is in the dictionary, and it has spawned off several catch-phrases and one liners. Truly, The Simpsons is the biggest thing since Seinfeld! The first three seasons showed them as if they were an actual family. Like the kind of family you'd meet on the street (only a lot more dysfunctional). Homer trying to do the fatherly thing in each episode. Marge being the voice of reason all the time. Lisa and Bart with their sibling rivalry. These first three seasons are not usually sighted as being the best, but they are often brought up when one speaks of ""The Best Episode Ever!"" By Season four, the show took a turn for what may have been the best. It left it's more realistic roots and became more of a satire. With more zany antics and more clever, witty, and often times sophisticated humor, The Simpsons became the most popular family on television. Each episode still contained it's own merits, themes and messages. Seasons 4 to about 10 are often said to be the ""Golden Age"" of The Simpsons.However, as the year 2000 came, fans began to see themselves divided. Those who stuck with the show since it came about in 1989 were quick to jump on how the show changed. The humor became more lurid and toilet like, with antics becoming heavily more unrealistic and zany (to the point where some even say it isn't funny... but stupid). Some characters becoming unrealistically stupid, and the show shifting gears from focusing on Bart to Homer... to everyone outside of the Simpson family. The show also began to see more cumbersome and meaningless plots. Plots that didn't focus on current issues, or that didn't seem to be as strong as older episodes. Despite this, new fans seem to have come about to replace then, and the show continues to remain at the top of its game, even today.I'm sure you all know where I stand on that debate. Nine stars to nine fantastic seasons."
"240","jeffsels"," Used to be brilliant","5/10","21 December 2021","Yet again, Disney ruin something which was once brilliant. I used to watch The Simpsons and always had laughs at the gags and character exploits: not anymore. Why do they have so many musical numbers and Woke storylines? Dull and uninspiring writing now. Not for me. I don't watch it anymore."
"241","skinnygaillard"," Time to pull the trigger...","","25 November 2021","The show had an excellent start, and was great for many seasons. Simply put, it was iconic, quotable, and universally loved, as the show combined humour and meaning well.Some watchers argue that the show went downhill, rapidly after about the 10th, though I'd say that there were plenty of funny episodes right up to the late teens. While there were a few good moments in the 20s, this is when The Simpsons lost its charm. It went from a timeless, quirky show to something that we need a lot less of: a jumble of pandering and meaningless drivel. It tries too hard to be hip and it's a real shame to see voice actors go after so-called 'controversy' and a few, ignorant demands.The show just isn't what it used to be. It is no longer satisfying or funny, and it's time it was cancelled."
"242","pnwryan"," Why?","4/10","7 July 2022","Why can't you just end the show? You ruin it year after year and it's worse since Disney took over. Please just end it already, you already made your landmakr. What more do you want?"
